candidate	state	status	path
5097b31457e6dc9f49e5f5c9c72b925ce79543b3	CONFLICT	M	backend/cmd/server/VERSION
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	A	backend/dev-docs/upstream-error-proxy-attribution.md
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/antigravity_gateway_claude.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/antigravity_gateway_compat.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/antigravity_gateway_gemini.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/antigravity_gateway_retry.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/antigravity_gateway_streaming.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_anthropic_passthrough.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_bedrock.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_count_tokens.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_forward.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_forward_as_chat_completions.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_forward_as_responses.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_upstream_response.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_upstream_transport_error.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gateway_upstream_transport_error_test.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/gemini_chat_completions_compat_service.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/gemini_messages_compat_service.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/grok_credential_failure.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/grok_credential_failure_test.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/grok_media.go
432ebc498cb395696d0be9762a33f70a63bf9375	NOBASE	M	backend/internal/service/openai_compact_fallback.go
432ebc498cb395696d0be9762a33f70a63bf9375	NOBASE	M	backend/internal/service/openai_compact_fallback_test.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_embeddings.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_first_output_timeout.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_first_output_timeout_test.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_gateway_cc_pipeline.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_gateway_chat_completions.go
432ebc498cb395696d0be9762a33f70a63bf9375	NOBASE	M	backend/internal/service/openai_gateway_chat_completions_anthropic_native.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_chat_completions_raw.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_chat_completions_raw_test.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_gateway_count_tokens.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_gateway_forward.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_grok.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_grok_chat_bridge.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_messages.go
432ebc498cb395696d0be9762a33f70a63bf9375	NOBASE	M	backend/internal/service/openai_gateway_messages_anthropic_native.go
432ebc498cb395696d0be9762a33f70a63bf9375	CLEAN	M	backend/internal/service/openai_gateway_passthrough.go
432ebc498cb395696d0be9762a33f70a63bf9375	CONFLICT	M	backend/internal/service/openai_gateway_response_handling.go
432ebc498cb395696d0be9762a33f70a63bf9375	NOBASE	M	backend/internal/service/openai_gateway_responses_anthropic_native.go
