8447bdd36821933bdf2620f5ff3016daab74f905	2026-09-15 15:10:45 +0800	fix(antigravity): gemini 透传 SSE 事件之间不再多写一个空行
32682a4f84c6a29104439050a0be14737552cec2	2026-09-15 14:01:28 +0800	chore: update sponsors
55a95d4c674f0624fad1c31ee4afd0ec03e2a53f	2026-09-15 11:16:17 +0800	feat: filter API key groups by provider
a939553c873e4c6ca2ff6c5a5b56e4a37114b1d5	2026-09-15 10:42:29 +0800	fix(deepseek): 模型名校验不再默认兜底，未配置映射时按官方名单校验
325213ae66adb3fc575fb7c82e4d0ac09732cecd	2026-09-15 08:59:52 +0800	Revert "fix(batch-image): scope access cache to the current user"
13c1d4cde291fe107bb3934e43174d43358aea48	2026-09-14 11:46:41 +0800	test(openai): 覆盖 Lite 命名空间工具回传
087987070b5a1413d698dbd9677986ba41a964e7	2026-09-14 11:45:53 +0800	fix(responses): 为 grok-build 始终写出 sequence_number
4bd7132ba9b51b7d0d0a567d28d6afac23a6baab	2026-09-14 11:35:03 +0800	fix(openai): 保留 Responses Lite namespace 调用
28a4ea914d1f2636406b37a3bbe29964fc1a67a5	2026-09-13 17:23:24 +0800	fix(proxy): allow explicitly clearing stored credentials
5ecfaa4837530e1e4da497063b675ceb20dd7e6e	2026-09-13 17:22:56 +0800	fix(batch-image): scope access cache to the current user
06af9f871c8081c9c13c6d3ffc6c482ebef80101	2026-09-13 17:20:56 +0800	fix(monitor): honor the selected auto-refresh interval
52558381c69dba77e9ef5271d8fbc0d5252a8911	2026-09-13 14:08:57 +0800	fix(apicompat): merge leading system messages and downgrade mid-conversation system from Responses bridge
e3cce574d7254b16f940bd662416f2820428c4c7	2026-09-13 12:33:35 +0800	fix: serialize subscription extensions
3d6c207723b40c2f727f0fec3e37dbee49217b71	2026-09-13 11:49:03 +0800	feat: 支持订阅管理批量操作
a1d5968b24bdfa1423f234f1320656c113ddce62	2026-09-13 10:41:47 +0800	feat(ollama): async rate-limit reset for Ollama Cloud usage windows
e5272c130c8afea103fbdb9252c09f98db1c7eb5	2026-09-13 07:13:31 +0800	test(openai): check input type before metadata assertion
196c15b5cd26436c209e50466ec1b4fe1a98f8c9	2026-09-13 07:00:50 +0800	fix(openai): strip internal metadata from OAuth input items
62635532a662e70a15ba9304f57b7885f75b2e24	2026-09-13 03:45:12 +0800	fix(antigravity): explicitly invalidate legacy project-based token cache
bc8da78150128bd395458252a1f1160f0edb3617	2026-09-13 03:40:47 +0800	fix(antigravity): isolate OAuth token cache key by account ID to prevent collision
db76cc4e4ea6f96f9e6a82d1db45c39b32c41d1e	2026-09-12 09:06:33 -0400	fix(scheduler): 按规范窗口读取 Codex 配额与重置时间
d2c2b46c9e28dae24c60771bf8c107e17a8122e1	2026-09-12 09:06:33 -0400	fix(batch-image): 修正批量生图账号优先级排序方向
7e152e4279347ea30bde2022979afd40ce85f768	2026-09-12 09:03:52 -0400	fix(scheduler): 修复选号耗时返回值和粘性命中率重复计数
76b3f3c7cf1d3fd302310b5ae0aaeaf38d3ed107	2026-09-12 17:38:55 +0800	docs(ui): 精简 OpenAI WS 模式提示
db15ddf07fd70afe5991dc721ce2968d07bb2b97	2026-09-12 16:54:22 +0800	docs(ui): 区分 OpenAI WS 开关与连接模式说明
5d5b395d0069ce752922ea65e730f7a2c52a421b	2026-09-12 16:32:17 +0800	docs(ui): 完善 OpenAI WS 模式说明
cf3aca6e3b76d7b9d9b680e8ae59a9268a67e6b7	2026-09-12 16:28:04 +0800	fix(ui): 按 OpenAI WS 模式显示链路提示
956f4672e482bcc42563049741a1b83ce9ad242e	2026-09-12 16:13:16 +0800	fix(openai-ws): 对齐 OpenAI 新版上下文池容量计算
5968fd0ed971372714706e3b907157f432022a51	2026-09-12 15:30:43 +0800	fix(channel-monitor): add missing minimax to provider allowlists
c6727ed4c96bb8981041c54ce3a5cd7843363ef8	2026-09-12 15:19:19 +0800	fix(admin): surface partial Antigravity refresh warnings
bb0b50d8bc4e10adfe218a68ab567ee4983d4d11	2026-09-12 13:50:12 +0800	fix(redeem): preserve success when account refresh fails
429d6f04807e244d636a5955fb552e63d4618c50	2026-09-12 13:44:33 +0800	fix(usage): keep export filters consistent across pages
5bafffed510c1520bde784456119cc3659480574	2026-09-12 13:44:05 +0800	fix(proxies): reset pagination when changing filters
781a02aea7867231727abfb827b71c312715297e	2026-09-12 13:41:16 +0800	fix(auth): preserve sessions during temporary service failures
3645ce5f43c6f4c6b5732d05bed1f718fd442810	2026-09-12 13:38:11 +0800	fix(profile): remove verified notification emails by identity
7cf90c79d624eb4b9ccc8279e5facf628bc046e2	2026-09-12 13:01:43 +0800	perf(openai): WS 连接池排队等待者按账号池变更重选连接
195a3313224a7a232370e7aa7a4ed79cf6ad49d7	2026-09-11 21:56:25 -0700	fix(codex): preserve maximum context window in model catalogs
29371b081960b1bcc38da45862a096e39d1d811e	2026-09-12 11:39:05 +0800	fix(openai-ws): ctx_pool 每账号连接上限系数默认值改为 5.0
8e7954438dcae79d5c35b5f910afdb0d5a9d19f8	2026-09-11 21:16:12 +0800	fix(openai): force priority when service tier is omitted
a65d476f25ddcd5ef961f18b80fc640cb7341ecd	2026-09-11 19:32:20 +0800	fix(keys): sync status after resetting quota
961d9e94f38896c38faf73210a9527d609dc1b5a	2026-09-11 19:29:36 +0800	fix(proxies): refresh the list after partial imports
